Player,No. of Matches,Runs Scored,Batting Average,Wickets Taken,Bowling Average,Player Role,Player Class
Ronsford Beaton,33,211,7.03,64,33.01,Bowler,1
Chama Milind,32,740,28.46,75,36.34,Bowler,1
Sreesanth,73,661,9.57,211,35.8,Bowler,1
Utpal Chatterjee,129,2699,21.08,504,24.9,Bowler,1
James Pattinson,57,1308,24.22,239,22.02,Bowler,1
Mark Wood,51,1433,21.38,162,27.37,Bowler,1
James Anderson,239,1790,9.72,920,25.48,Bowler,1
Mahbubul Alam,53,297,6.9,141,27.16,Bowler,1
Brenton Parchment,67,3111,26.58,3,42.33,Bowler,1
Murali Kartik,203,4423,20.19,644,26.7,Bowler,1
Bilawal Bhatti,90,1977,17.65,362,23.18,Bowler,1
Trent Johnston,33,703,21.3,103,20.19,Bowler,1
Tharindu Kaushal,75,1717,21.19,351,25.32,Bowler,1
Chris Mpofu,104,1154,9.86,280,30.7,Bowler,1
Paul Reiffel,167,3690,24.76,545,26.4,Bowler,1
Paul Harris,123,1762,13.65,394,31.63,Bowler,1
Junior Dala,51,382,10.32,138,31.47,Bowler,1
Wayne Parnell,68,2297,28.01,198,30.47,Bowler,1
Varun Aaron,59,790,11.12,163,31.72,Bowler,1
Robiul Islam,77,617,8.94,224,30.78,Bowler,1
Saeed Ajmal,148,2007,13.11,578,26.87,Bowler,1
Peter Martin,212,3594,19.42,606,27.51,Bowler,1
Zaheer Khan,169,2489,13.6,672,27.97,Bowler,1
Pankaj Singh,117,1513,12.3,472,23.76,Bowler,1
Lakshan Sandakan,58,808,12.43,247,25.1,Bowler,1
Duanne Olivier,96,1100,12.22,399,21.85,Bowler,1
Vinay Kumar,130,3025,21.45,459,23.53,Bowler,1
Nathan McCullum,65,2329,25.04,139,40.05,Bowler,1
Tabraiz Shamsi,76,521,8.01,304,26.07,Bowler,1
Imtiaz Ahmed,45,691,17.27,138,31,Bowler,1
Brett Lee,116,2120,18.59,487,28.22,Bowler,1
Nazmul Hossain,52,610,10.51,96,30.72,Bowler,1
Jasprit Bumrah,36,134,7.44,138,24.11,Bowler,1
Jayantha Silva,65,177,4.65,232,22.4,Bowler,1
Harbhajan Singh,198,4255,19.16,780,29.04,Bowler,1
Pradeep Sangwan,54,1206,20.1,176,29.02,Bowler,1
Sandeep Warrier,46,79,2.82,153,24.22,Bowler,1
Lionel Baker,37,422,10.29,94,30.7,Bowler,1
Shane Harwood,44,666,14.47,137,32.75,Bowler,1
Friedel de Wet,62,1088,17.26,229,25.92,Bowler,1
Abu Jayed,76,456,7.86,227,29.12,Bowler,1
Imran Tahir,194,2617,14.22,784,26.63,Bowler,1
Trevor Hohns,152,5210,27.13,288,37.15,Bowler,1
Danny Briggs,104,1689,17.41,266,34.34,Bowler,1
Esuan Crandon,38,702,14.62,90,32.02,Bowler,1
Mark Craig,60,1902,25.36,151,42.11,Bowler,1
Johann Louw,145,3593,21.51,443,29.03,Bowler,1
Abdur Razzak,128,2725,17.58,581,28.95,Bowler,1
Muttiah Muralitharan,232,2192,11.35,1374,19.64,Bowler,1
Nathan Bracken,67,1007,17.36,215,26.06,Bowler,1
Todd Astle,115,4183,25.66,325,31.6,Bowler,1
Parvinder Awana,62,662,12.25,191,29.23,Bowler,1
Liam Plunkett,155,4376,25.14,452,31.57,Bowler,1
Paul Wiseman,186,4254,20.95,466,33.74,Bowler,1
Tarun Nethula,80,1692,19.67,245,36.89,Bowler,1
Ray Price,118,2512,16.31,416,29.17,Bowler,1
Shafiul Islam,57,793,13,142,30.97,Bowler,1
Darren Pattinson,62,763,12.93,171,32.99,Bowler,1
Nuwan Kulasekara,87,1684,18.3,272,24.2,Bowler,1
Sachithra Senanayake,107,2614,23.76,537,20.81,Bowler,1
Munaf Patel,69,761,14.92,231,24.43,Bowler,1
Tom Hogan,80,1756,20.18,209,35.87,Bowler,1
Deepak Chahar,45,965,18.2,126,35.1,Bowler,1
Seth Rance,40,821,20.52,115,29.54,Bowler,1
Amila Aponso,52,623,12.46,240,22.52,Bowler,1
Al-Amin Hossain,52,327,8.38,144,27.81,Bowler,1
Sandeep Sharma,42,559,10.96,162,26.1,Bowler,1
Chaminda Vidanapathirana,120,1019,10.72,295,26.94,Bowler,1
Timm van der Gugten,35,517,12.6,138,24.63,Bowler,1
Bruce Reid,96,503,7.85,350,26.63,Bowler,1
Mohammad Sami,179,3479,17.13,610,27.35,Bowler,1
Ankit Sharma,54,1715,32.35,119,44.7,Bowler,1
Abu Hider,32,365,12.58,76,35.71,Bowler,1
Amjad Khan,108,1466,16.85,347,31.62,Bowler,1
Craig Overton,76,2074,21.6,239,26.78,Bowler,1
Roy Marshall,53,1701,18.29,144,25.3,Bowler,1
Stuart MacGill,184,1536,9.9,774,30.49,Bowler,1
Chris Tremlett,146,2462,17.84,459,28.66,Bowler,1
Ramesh Powar,148,4245,26.53,470,31.31,Bowler,1
Eddie Leie,71,563,11.26,226,29.42,Bowler,1
Mohammad Abbas,90,602,7.34,413,19.92,Bowler,1
Dinesh Daminda,47,493,11.73,136,23.78,Bowler,1
Daryl Tuffey,91,1438,17.11,288,26.78,Bowler,1
Robert Kennedy,38,306,9,91,31.02,Bowler,1
Chris Tremain,55,820,13.22,218,23.49,Bowler,1
Shaminda Eranga,76,1314,19.9,186,32.4,Bowler,1
Victor Mpitsang,103,417,5.87,245,29.8,Bowler,1
Shalabh Srivastava,41,212,5.72,130,31.65,Bowler,1
Wahab Riaz,136,2675,16.51,441,29.13,Bowler,1
Ishant Sharma,132,889,8.38,426,29.47,Bowler,1
Lonwabo Tsotsobe,61,286,5.72,201,26.85,Bowler,1
Adil Rashid,175,6822,32.48,512,35.05,Bowler,1
Cyril Perkins,57,589,8.18,93,36.11,Bowler,1
Arafat Sunny,78,1337,17.59,291,23.66,Bowler,1
Graeme Cremer,88,2887,23.47,365,28.15,Bowler,1
Robin Peterson,144,4668,24.69,396,33.28,Bowler,1
Umesh Yadav,81,808,14.96,264,29.41,Bowler,1
Kyle Mills,76,2166,26.09,204,29.81,Bowler,1
Tyron Henderson,86,1897,15.8,262,26.81,Bowler,1
Mohammad Talha,92,1441,13.72,327,30.38,Bowler,1
Sean Abbott,47,1043,16.82,123,34.26,Bowler,1
Shoaib Akhtar,133,1670,12.27,467,26.26,Bowler,1
Sajeewa Weerakoon,192,2336,14.6,816,22.01,Bowler,1
Lahiru Gamage,103,888,9.97,268,31.02,Bowler,1
Mohit Sharma,44,640,13.06,127,24.55,Bowler,1
Priyankara Silva,78,366,5.01,225,29.21,Bowler,1
Njabulo Ncube,59,427,8.54,133,33.53,Bowler,1
Abdur Rauf,148,3142,15.86,695,23.84,Bowler,1
Mark Gillespie,94,1688,17.05,385,27.97,Bowler,1
Aniket Choudhary,56,331,6.36,187,24.66,Bowler,1
Vikramjeet Malik,81,1159,13.63,308,23.42,Bowler,1
Sohrawordi Shuvo,91,3701,33.95,317,27.52,Bowler,1
Stuart Broad,202,4910,20.45,710,27.6,Bowler,1
Bhargav Bhatt,64,704,10.66,251,28.82,Bowler,1
Matt Henry,62,1415,21.43,267,24.67,Bowler,1
Mitchell Johnson,117,3180,22.87,465,28.71,Bowler,1
Raza Hasan,42,807,19.21,132,27.55,Bowler,1
Sulieman Benn,99,2059,17.01,379,26.73,Bowler,1
Merv Hughes,165,2649,17.54,593,29.39,Bowler,1
Rajesh Pawar,84,1853,18.9,281,30.07,Bowler,1
Trevor Garwe,99,2543,20.34,225,28.88,Bowler,1
Tharanga Lakshitha,111,1556,12.75,260,29.09,Bowler,1
Stuart Clark,113,1434,14.05,393,27.52,Bowler,1
Sheldon Cottrell,47,604,15.89,104,26.86,Bowler,1
Aaron Phangiso,78,1756,21.41,155,35.12,Bowler,1
Beuran Hendricks,83,599,9.5,288,23.54,Bowler,1
Karn Sharma,69,2050,23.29,188,28.62,Bowler,1
Ewen Thompson,52,1734,26.27,177,30,Bowler,1
Thilan Thushara,129,2710,15.84,310,30.7,Bowler,1
Buddika Sandaruwan,36,753,16.02,112,24.03,Bowler,1
Bryce McGain,33,248,10.78,101,35.48,Bowler,1
Pedro Collins,148,871,6.5,501,26.01,Bowler,1
Tymal Mills,32,260,11.3,55,36.5,Bowler,1
Hardus Viljoen,113,2099,14.88,438,26.83,Bowler,1
Dale Steyn,141,1824,13.71,618,23.57,Bowler,1
Sudeep Tyagi,41,105,3.28,109,31.99,Bowler,1
Vimukthi  Perera,74,430,11.31,174,27.63,Bowler,1
Charl Langeveldt,104,1219,14.34,334,28.87,Bowler,1
Toby Roland-Jones,102,2488,21.63,366,25.52,Bowler,1
Pradeep Jeyapragash,47,799,17.75,72,37.02,Bowler,1
Nazmul Islam,55,509,9.78,148,31.27,Bowler,1
Jason Krejza,54,1587,25.19,114,49.59,Bowler,1
Bjorn Fortuin,38,1506,34.22,100,27.28,Bowler,1
Chadd Sayers,66,1055,13.35,265,24.9,Bowler,1
Anthony Martin,51,354,7.08,162,26.85,Bowler,1
Taurai Muzarabani,70,914,13.44,167,30.61,Bowler,1
Rajeewa Weerasinghe,63,1448,18.8,219,25.84,Bowler,1
Amil Prasad,52,470,10.93,118,33.66,Bowler,1
Saqlain Mushtaq,194,3405,16.69,833,23.56,Bowler,1
Peter George,64,167,3.63,207,30.75,Bowler,1
Danuja Nandana,54,488,16.26,93,28.88,Bowler,1
Gurinder Sandhu,33,593,16.94,73,36.84,Bowler,1
Imran Khan,91,656,7.13,335,23.84,Bowler,1
Lockie Ferguson,41,475,13.57,149,24.65,Bowler,1
Mervyn Dillon,91,1049,8.25,291,29.2,Bowler,1
Luke Jongwe,36,1170,22.5,97,26.81,Bowler,1
Josh Hazlewood,78,727,12.32,290,25.27,Bowler,1
Veerasammy Permaul,113,1833,13.37,486,21.44,Bowler,1
Aizaz Cheema,134,858,7.72,556,19.68,Bowler,1
Eric Upashantha,119,2754,20.7,294,25.19,Bowler,1
Rory Kleinveldt,148,3743,20.23,454,27.92,Bowler,1
Chamila Gamage,114,2131,14.79,398,21.11,Bowler,1
Scott Boland,61,727,14.25,206,26.71,Bowler,1
Jermaine Lawson,54,434,8.18,174,29.31,Bowler,1
Andy McKay,57,529,14.29,186,31.88,Bowler,1
Sarfraz Ahmed,139,2374,16.26,506,21.93,Bowler,1
Thandi Tshabalala,85,1140,12.52,166,40.97,Bowler,1
Aavishkar Salvi,62,306,10.92,169,25.72,Bowler,1
Vikas Mishra,40,160,5.92,152,27.01,Bowler,1
Vishwa Fernando,60,309,7.18,160,31,Bowler,1
Adam Zampa,36,1118,21.5,102,47.09,Bowler,1
Tyron Gamage,92,527,6.58,261,24.14,Bowler,1
Mohammad Akram,125,944,8.58,415,28.82,Bowler,1
Peter Siddle,158,2893,16.53,535,27.74,Bowler,1
Kyle Abbott,100,2198,19.45,370,21.87,Bowler,1
Ajmal Shahzad,97,2237,23.06,249,34.97,Bowler,1
Junaid Khan,79,740,10,331,23.41,Bowler,1
Clint McKay,85,2097,19.78,281,27.71,Bowler,1
Ashley Nurse,46,1156,21.81,152,24.09,Bowler,1
Nayan Doshi,70,567,9,166,40.35,Bowler,1
Brett Geeves,41,1006,21.86,140,33.1,Bowler,1
Dammika Perera,66,858,14.3,166,24.16,Bowler,1
Dane Paterson,96,1123,12.61,329,24.16,Bowler,1
Matt Dunn,36,143,7.15,99,36.12,Bowler,1
Logan van Beek,41,1212,26.93,111,31.43,Bowler,1
Beau Casson,53,1500,22.38,123,43.04,Bowler,1
Boyd Rankin,106,697,9.29,347,26.52,Bowler,1
Tabish Khan,118,1590,12.32,543,23.16,Bowler,1
Steven Finn,149,1111,9.03,531,28.96,Bowler,1
Doug Bracewell,98,3382,26.62,304,32.6,Bowler,1
Jeremiah Louis,36,900,20.93,79,27.21,Bowler,1
Ravindra Palleguruge,76,1142,16.79,220,20.4,Bowler,1
Mitchell McClenaghan,38,444,14.32,117,37.26,Bowler,1
Mohammad Irfan,53,290,6.44,184,26.42,Bowler,1
Miguel Cummins,73,355,6.57,204,25.54,Bowler,1
Prabath Jayasuriya,47,663,12.75,158,25.74,Bowler,1
Nathan Lyon,145,1682,12.74,510,34.57,Bowler,1
Chris Jordan,102,2999,24.78,304,32.09,Bowler,1
Michael Kasprowicz,242,4401,17.6,959,26.59,Bowler,1
Alfonso Thomas,164,4130,23.07,547,26.34,Bowler,1
Lasith Malinga,84,585,9.75,257,30.28,Bowler,1
Reece Topley,34,94,4.27,127,26.77,Bowler,1
Elias Sunny,96,2823,22.05,343,28.2,Bowler,1
Rubel Hossain,52,485,9.32,80,57.95,Bowler,1
Shane Bond,60,830,16.6,225,24.34,Bowler,1
Paul Adams,141,1752,17.17,412,32.66,Bowler,1
Keith Barker,113,3554,28.43,359,25.4,Bowler,1
Brett Dorey,44,810,15.57,163,26.16,Bowler,1
Chamikara Mudalige,124,1036,8.93,335,26.45,Bowler,1
Tim Southee,101,2261,18.08,387,27.43,Bowler,1
Amit Mishra,152,4176,21.75,535,29.17,Bowler,1
Bruce Martin,131,2626,19.16,355,37.57,Bowler,1
Dan Cullen,46,567,15.75,130,44.28,Bowler,1
Deighton Butler,64,1225,14.93,176,26.2,Bowler,1
Ryan Harris,82,2056,20.15,303,26.55,Bowler,1
Amit Jaggernauth,69,722,11.46,265,24.55,Bowler,1
Ravi Rampaul,79,1131,12.85,225,31.02,Bowler,1
Dewald Pretorius,68,509,9.6,232,27.64,Bowler,1
Brian Vitori,46,558,12.13,146,28.53,Bowler,1
Sohan Boralessa,72,904,15.85,274,24.31,Bowler,1
Ashish Nehra,90,756,9.69,303,29.14,Bowler,1
Delorn Johnson,51,653,10.88,135,24.78,Bowler,1
Praveen Kumar,66,2110,22.44,267,23.61,Bowler,1
Joe Mennie,74,1791,17.38,278,25.62,Bowler,1
Jason Gillespie,189,3742,19.59,613,26.98,Bowler,1
George Dockrell,56,923,18.46,179,29.63,Bowler,1
Graeme Swann,252,7811,25.52,739,32.12,Bowler,1
Sydney Barnes,133,1573,12.78,719,17.09,Bowler,1
Ryan Austin,74,913,10.14,317,23.18,Bowler,1
Odean Brown,67,790,11.61,255,23,Bowler,1
Blessing Mahwire,77,1800,17.14,199,30.24,Bowler,1
Jon Holland,66,732,15.25,221,31.99,Bowler,1
Morne Morkel,137,1895,14.03,522,24.95,Bowler,1
Kagiso Rabada,55,708,12,243,22.9,Bowler,1
RP Singh,94,922,10.13,301,30.57,Bowler,1
Ben Wheeler,36,646,17.94,107,27.98,Bowler,1
Shadab Jakati,92,2734,22.04,275,32,Bowler,1
Andrew Fekete,37,314,9.81,124,30.76,Bowler,1
Neil Wagner,162,2872,16.89,668,26.96,Bowler,1
Simon Kerrigan,104,1058,13.22,322,30.57,Bowler,1
Tim Murtagh,219,4004,19.34,761,25.83,Bowler,1
Doug Bollinger,124,697,8.82,411,28.05,Bowler,1
Glenn McGrath,189,977,7.75,835,20.85,Bowler,1
Sachin Rana,73,3667,30.81,142,25.34,Bowler,1
Brad Williams,69,860,13.87,227,32.62,Bowler,1
Keshav Maharaj,118,2805,20.03,427,27.44,Bowler,1
Bhuvneshwar Kumar,70,2433,27.03,218,26.53,Bowler,1
Samiullah Khan,116,895,10.4,527,18.74,Bowler,1
Xavier Doherty,71,1272,14.13,163,42.65,Bowler,1
Mitchell Swepson,35,502,12.24,98,36.38,Bowler,1
Derek Underwood,676,5165,10.12,2465,20.28,Bowler,1
Dilhara Fernando,121,590,7.46,315,30.46,Bowler,1
Jaydev Unadkat,76,1344,17.92,251,25.76,Bowler,1
Ruwan Dilruk,70,677,9.4,162,26.74,Bowler,1
Ehsan Adil,54,982,17.22,218,21.33,Bowler,1
Mashrafe Mortaza,57,1458,15.67,135,35.05,Bowler,1
Ben Edmondson,58,169,4.12,194,33.61,Bowler,1
Mohammad Asif,103,732,8.22,441,23.1,Bowler,1
Tendai Chisoro,60,1479,16.25,115,35.33,Bowler,1
Dhammika Prasad,124,2405,17.68,342,29.02,Bowler,1
Umega Chaturanga,42,538,15.37,169,22.72,Bowler,1
Nathan Coulter-Nile,37,994,18.75,124,28.68,Bowler,1
Trent Boult,94,970,14.05,354,26.65,Bowler,1
Tino Best,121,1593,12.06,330,29.37,Bowler,1
Steve Magoffin,160,2657,16.6,597,23.6,Bowler,1
Mthokozisi Shezi,86,622,9.42,158,34.12,Bowler,1
Jamaluddin Syed Mohammad,41,1577,27.66,104,29.75,Bowler,1
Fidel Edwards,123,757,7,405,30.82,Bowler,1
Ish Sodhi,71,1991,21.87,242,33.91,Bowler,1
Harshal Patel,55,1071,15.3,174,26.28,Bowler,1
Nathan Hauritz,79,1747,21.04,187,43.02,Bowler,1
Anand Rajan,40,461,13.17,124,31.1,Bowler,1
Nicky Boje,216,9087,34.42,585,32.7,Bowler,1
Anrich Nortje,47,693,15.75,162,25.72,Bowler,1
Lassana Dias,79,611,8.98,249,22.17,Bowler,1
Sohail Khan,100,1498,14.54,449,24.18,Bowler,1
Tawanda Mupariwa,83,1764,15.89,252,25.17,Bowler,1
Hasan Ali,38,594,15.63,157,25.6,Bowler,1
Rumman Raees,44,835,17.39,138,24.33,Bowler,1
Kanishka Alvitigala,49,564,10.64,97,33.84,Bowler,1
Tendai Chatara,51,496,9.35,186,21.74,Bowler,1
Stuart Meaker,89,1445,15.53,279,31.18,Bowler,1
Corey Collymore,167,913,7.6,492,26.85,Bowler,1
Chris Wood,43,1326,23.67,105,30.22,Bowler,1
Siddarth Kaul,58,613,10.94,205,27.14,Bowler,1
Malan Madusanka,52,760,14.33,216,23.28,Bowler,1
Ruchira Perera,109,638,9.11,349,24.89,Bowler,1
Yasir Shah,126,2419,15.91,536,27.5,Bowler,1
Ashok Dinda,115,1083,10.02,417,28.35,Bowler,1
Manpreet Gony,61,1226,17.02,196,28.77,Bowler,1
Brent Arnel,111,686,8.46,394,26.89,Bowler,1
Rangana Herath,270,5021,16.35,1080,25.14,Bowler,1
Chanaka Komasaru,150,731,8.03,578,23.09,Bowler,1
Jerome Taylor,103,1595,11.72,326,25.76,Bowler,1
Mir Hamza,59,268,7.05,282,18.34,Bowler,1
Sanjeewa Roshan,56,859,14.31,86,31.11,Bowler,1
Jeffrey Vandersay,44,612,16.1,199,25.57,Bowler,1
Shingi Masakadza,84,2152,20.3,313,23.13,Bowler,1
Suraj Randiv,146,3668,21.2,660,26,Bowler,1
Olly Stone,34,532,16.62,116,24.21,Bowler,1
Dawnley Joseph,68,3676,30.89,5,39.6,Bowler,1
Kerry Jeremy,55,446,9.29,177,24.3,Bowler,1
Marchant de Lange,74,1323,15.75,279,29.45,Bowler,1
Devendra Bishoo,100,1616,12.24,382,28.71,Bowler,1
Umar Gul,120,1642,11.98,473,25.17,Bowler,1
Neil McGarrell,84,2127,21.48,276,26.27,Bowler,1
Suranga Lakmal,112,1190,10.72,295,33.43,Bowler,1
Shane Shillingford,128,2561,14.22,572,24.07,Bowler,1
Fawad Ahmed,62,410,10.78,205,31.11,Bowler,1
Mohammed Shami,63,732,11.8,242,28.16,Bowler,1
Shaun Tait,50,509,12.41,198,28.59,Bowler,1
Jomel Warrican,58,720,12.85,244,19.59,Bowler,1
Zulfiqar Babar,107,1937,15.87,507,23.01,Bowler,1
Graham Onions,182,2035,13.3,678,26.1,Bowler,1
Michael Hogan,144,2004,15.77,548,24.41,Bowler,1
Tanvir Ahmed,136,3840,20.98,516,27.58,Bowler,1
Rusty Theron,54,783,12.23,169,27.02,Bowler,1
Lakshmipathy Balaji,106,1202,12.14,330,26.1,Bowler,1
Navdeep Saini,43,223,8.92,120,28.23,Bowler,1
Nuwan Pradeep,88,351,4.8,208,34.01,Bowler,1
Dhawal Kulkarni,86,1721,26.07,261,27.48,Bowler,1
Samad Fallah,77,374,6.13,286,28.34,Bowler,1
Mervin Matthew,47,811,14.48,121,20.38,Bowler,1
Ian Bradshaw,45,1213,21.66,157,25.56,Bowler,1
Malinga Surappulige,63,662,9.88,185,24.13,Bowler,1
Ben Hilfenhaus,104,1410,12.93,387,29.34,Bowler,1
Mick Lewis,82,693,9.49,277,29.09,Bowler,1
Nikita Miller,100,2296,17.52,538,16.31,Bowler,1
Janak Gamage,73,649,11.38,184,24.35,Bowler,1
Sunzamul Islam,75,2143,23.29,280,29.63,Bowler,1
Dharshana Gamage,101,660,7.5,249,26.46,Bowler,1
Swapnil Singh,53,1938,27.29,122,32.09,Bowler,1
Akshay Wakhare,72,786,11.07,249,28.78,Bowler,1
Richard Illingworth,376,7027,22.45,831,31.54,Bowler,1
Shane Warne,301,6919,19.43,1319,26.11,Bowler,1
Ajaz Patel,53,709,12.43,214,31.03,Bowler,1
Gavin Tonge,87,1792,14.11,249,26.78,Bowler,1
Shahbaz Nadeem,106,2101,14.9,401,29.3,Bowler,1
Natsai M'shangwe,74,1329,15.1,224,28.75,Bowler,1
Ishwar Pandey,68,863,13.48,238,26.13,Bowler,1
Saqlain Sajib,89,656,8.51,355,24.78,Bowler,1
Chris Martin,192,479,3.71,599,31.83,Bowler,1
Michael Bates,68,1266,21.45,193,29.43,Bowler,1
Andy Bichel,186,5860,26.51,769,25.98,Bowler,1
Najaf Shah,134,1247,10.93,477,24.21,Bowler,1
Prosper Utseya,82,2756,21.53,217,29.99,Bowler,1
Daniel Worrall,43,430,11.62,172,27.56,Bowler,1
Anureet Singh,66,1113,16.36,234,28.04,Bowler,1
Siddharth Trivedi,82,849,11.02,268,24.81,Bowler,1
Upul Indrasiri,113,1493,12.44,392,24.14,Bowler,1
Chanaka Welegedara,116,1061,11.16,312,30.65,Bowler,1
Nilanka Premaratne,56,261,8.41,145,31.79,Bowler,1
Graeme Aldridge,123,2339,19.82,364,28.29,Bowler,1
Jack Leach,70,866,12.02,236,25.66,Bowler,1
Shannon Gabriel,98,463,5.64,283,28.86,Bowler,1
Mohammad Amir,66,1334,15.69,254,22.77,Bowler,1
Pragyan Ojha,108,848,9.02,424,28.6,Bowler,1
Taijul Islam,64,970,12.93,263,29.58,Bowler,1
Mitchell Starc,90,1950,22.41,345,26.83,Bowler,1
Anisur Rahman,35,496,11.02,66,29.84,Bowler,1
Jayant Yadav,57,2079,27.35,145,33.54,Bowler,1
Cameron Boyce,48,960,17.14,96,49.92,Bowler,1
Ranjith Madurasinghe,101,1736,16.37,269,25.55,Bowler,1
Mehdi Hassan,32,658,18.27,76,39.15,Bowler,1
Yannic Cariah,58,2365,26.27,48,30.22,Bowler,1
Michael Chinouya,86,389,5.4,212,27.51,Bowler,1
Balachandra Akhil,51,1810,28.73,49,37.48,Bowler,1
Mohammad Shahid,43,719,15.97,92,31.61,Bowler,1
Hasibul Hossain,52,863,11.82,172,27.43,Bowler,1
Ajantha Mendis,75,1574,16.39,306,23.13,Bowler,1
Trent Copeland,88,1838,18.94,341,25.19,Bowler,1
Jamie Porter,69,325,6.25,276,24,Bowler,1
Ankit Rajpoot,52,169,3.84,180,27.92,Bowler,1
Madura Lakmal,84,971,12.13,159,35.01,Bowler,1
Kemar Roach,108,1568,13.17,333,26.96,Bowler,1
Shardul Thakur,59,1113,15.24,200,28.06,Bowler,1
Rahat Ali,76,347,6.67,260,24.96,Bowler,1
Kasun Rajitha,42,352,9.77,118,35.27,Bowler,1
Ishara Amerasinghe,106,341,6.68,254,24.66,Bowler,1
Dane Piedt,108,2266,17.29,389,31.35,Bowler,1
Dushmantha Chameera,36,173,6.92,84,36.34,Bowler,1
Nelon Pascal,57,411,6.52,154,30.2,Bowler,1
Brendan Drew,34,523,14.94,83,41.75,Bowler,1
Chathupama Gunasinghe,33,229,11.45,50,34.6,Bowler,1
Imran Khan,102,3272,20.84,410,23.24,Bowler,1
Sohag Gazi,86,3763,30.84,326,34.6,Bowler,1
Wayne Clark,62,717,12.57,210,29.37,Bowler,1
Gerard Denton,58,605,11.86,181,31.28,Bowler,1
Blair Tickner,38,214,11.26,99,40.69,Bowler,1
Monty Panesar,219,1536,8.39,709,31.22,Bowler,1
Ray Bright,184,4130,21.07,471,32.08,Bowler,1
